Community,Males_%,Females_%,1st_country,1st_country_%,2nd_country,2nd_country_%,3rd_country,3rd_country_%,1st_occupation,1st_occupation_%,2nd_occupation,2nd_occupation_%,3rd_occupation,3rd_occupation_%
1,67.93680297397769,32.06319702602231,United States of America,86.86200378071834,United Kingdom,4.44234404536862,Canada,3.8752362948960304,voice actor,14.676082284310715,producer,13.662879950875038,writer,12.588271415412958
2,67.82868525896414,32.17131474103586,United States of America,80.64516129032258,United Kingdom,9.67741935483871,Canada,3.125,writer,10.466988727858293,musician,7.246376811594203,director,7.192699946323135
3,59.22330097087378,40.77669902912621,India,96.78456591639872,United Kingdom,1.2861736334405145,Pakistan,0.482315112540193,director,10.881294964028777,producer,8.453237410071942,model,8.453237410071942
4,72.95373665480427,27.046263345195733,United Kingdom,64.57960644007156,United States of America,14.311270125223613,Australia,7.155635062611807,writer,10.410697230181471,producer,7.354345749761222,director,7.067812798471825
5,65.06849315068493,34.93150684931507,India,99.02439024390245,Egypt,0.24390243902439024,Bhutan,0.24390243902439024,director,9.710144927536232,producer,8.695652173913043,writer,5.797101449275362
6,72.6235741444867,27.376425855513308,China,58.44155844155844,Hong Kong,18.181818181818183,Taiwan,9.956709956709958,musician,15.702479338842975,director,12.8099173553719,writer,6.6115702479338845
7,66.91176470588235,33.088235294117645,United States of America,88.97338403041825,Canada,6.4638783269961975,United Kingdom,3.4220532319391634,voice actor,28.51758793969849,musician,9.170854271356783,writer,7.788944723618091
8,70.0,30.0,United States of America,74.81203007518798,United Kingdom,6.390977443609022,Spain,6.390977443609022,producer,12.76864728192162,voice actor,12.389380530973451,writer,10.745891276864729
9,69.0721649484536,30.927835051546392,United Kingdom,77.15736040609137,Ireland,7.614213197969544,United States of America,7.1065989847715745,voice actor,12.149532710280374,writer,11.214953271028037,producer,8.411214953271028
10,59.76331360946746,40.23668639053255,India,100.0,0,0,0,0,director,10.852713178294573,writer,7.751937984496124,producer,5.813953488372093
11,54.32098765432099,45.67901234567901,Japan,73.71794871794873,United States of America,23.717948717948715,Canada,1.9230769230769231,voice actor,17.647058823529413,musician,14.50980392156863,seiyÅ«,8.235294117647058
12,65.0,35.0,France,55.625,Italy,30.625000000000004,Portugal,5.0,director,16.231884057971012,writer,15.36231884057971,musician,5.507246376811594
13,71.53846153846153,28.46153846153846,United States of America,87.5,United Kingdom,6.666666666666667,Australia,2.5,producer,7.4866310160427805,director,6.951871657754011,writer,6.951871657754011
14,67.22689075630252,32.773109243697476,Japan,100.0,0,0,0,0,musician,9.146341463414634,director,7.926829268292683,producer,3.048780487804878
15,76.41509433962264,23.58490566037736,United States of America,73.33333333333333,United Kingdom,17.142857142857142,Canada,3.8095238095238098,writer,14.754098360655737,producer,12.786885245901638,voice actor,11.147540983606557
16,84.31372549019608,15.686274509803921,United States of America,91.39784946236558,United Kingdom,6.451612903225806,Canada,1.0752688172043012,director,17.045454545454543,writer,11.363636363636363,producer,6.8181818181818175
17,65.85365853658537,34.146341463414636,United States of America,92.40506329113924,United Kingdom,3.79746835443038,Netherlands,1.2658227848101267,comedian,6.896551724137931,voice actor,4.310344827586207,writer,4.310344827586207
18,52.0,48.0,United States of America,87.5,Canada,6.944444444444445,Germany,2.7777777777777777,director,15.178571428571427,writer,12.5,producer,5.357142857142857
19,57.57575757575758,42.42424242424242,United States of America,95.83333333333334,Canada,4.166666666666666,0,0,writer,13.47517730496454,producer,12.76595744680851,director,11.347517730496454
20,63.46153846153846,36.53846153846153,Sweden,87.27272727272727,Japan,5.454545454545454,Germany,3.6363636363636362,director,15.74074074074074,writer,12.037037037037036,musician,8.333333333333332
